GAME_ID,game_date,blank_rows
0022200549,2023-01-01,4
0022200577,2023-01-05,1
0022200606,2023-01-09,1
0022200621,2023-01-11,1
0022200642,2023-01-14,2
0022200707,2023-01-23,2
0022200749,2023-01-28,1
0022200788,2023-02-03,2
0022200869,2023-02-14,1
0022200877,2023-02-15,1
0022200908,2023-02-25,1
0022200921,2023-02-27,1
0022201053,2023-03-17,1
0022201081,2023-03-21,2
0022201181,2023-04-04,1
0022201206,2023-04-07,2
0022300174,2023-11-11,1
0022300213,2023-11-19,1
0022300043,2023-11-24,2
0022300053,2023-11-28,1
0022300329,2023-12-15,1
0022300373,2023-12-20,1
0022300389,2023-12-23,2
0022300432,2023-12-29,1
0022300448,2023-12-31,1
0022300479,2024-01-05,1
0022300493,2024-01-06,2
0022300507,,2
0022300542,,1
0022300571,,3
0022300630,,1
0022300670,,1
0022300684,,1
0022300706,,1
0022300759,,1
0022300797,,4
0022300816,,1
0022300836,,1
0022300859,,1
0022300920,,1
0022300938,,1
0022300943,,3
0022300998,,1
0022301011,,3
0022301023,,1
0022301087,,1
0022301105,,1
0022301118,,2
0022301227,,2
0022400061,,1
0022400073,,1
0022400104,,2
0022400119,,1
0022400132,,2
0022400202,,1
0022400218,,2
0022400281,,1
0022400307,,1
0022400316,,1
0022400319,,1
0022400363,,3
0022400381,,1
0022400407,,1
0022400437,,1
0022400487,,1
0022400507,,1
0022400528,,2
0022400562,,4
0022400577,,1
0022400604,,1
0022400620,,1
0022400629,,2
0022400635,,1
0022400650,,1
0022400666,,2
0022400683,,1
0022400748,,1
0022400769,,3
0022400789,,2
0022400836,,1
0022400852,,1
0022400891,,2
0022400946,,1
0022401020,,2
0022401044,,3
0022401120,,3
0022401205,,2
0022401217,,2
0022500017,,3
0022500018,,2
0022500117,,2
0022500128,,1
0022500146,,1
0022500158,,1
0022500216,,1
0022500233,,1
0022500250,,2
0022500320,,1
0022500334,,1
0022500338,,1
0022500358,,2
0022500493,,1
0022500520,,1
0022500594,,1
0022500621,,1
0022500728,,2
0022500823,,2
0022500839,,2
0022500880,,2
0022500894,,1
0022500908,,1
0022500942,,3
0022500971,,3
0022500999,,1
0022501019,,1
0022501054,,5
0022501067,,5
0022501092,,3
0022501106,,6
0022501126,,4
0022501132,,6
0022501149,,6
0022501168,,6
0022501174,,2
